Karmn,Name,RA_J2000,DE_J2000,Ref01,muRA_masa-1,muDE_masa-1,Ref07,pi_mas,Ref08,Vr_kms-1,Ref10,BP_mag,Ref25,RP_mag,Ref32,Gaia_id
J00204+330,LP 292-067,00:20:29.41,+33:05:06.4,DR3,1075.60690447865,-863.66766850944,DR3,81.57206255154,DR3,-29.5,Haw96,16.3995,DR3,12.5377,PS1,2863419584886542080
J00207+596,[I81] M 134,00:20:47.76,+59:36:17.4,DR3,-25.7856494595914,-114.82909180477,DR3,35.1238642270519,DR3,14.44,DR3,12.7436,DR3,10.4149,UCAC4,428347778613655424
J00209+176,StKM 1-25,00:20:57.19,+17:38:16.0,DR3,38.9998947168196,-82.3912675914831,DR3,33.446876023266,DR3,-2.493,DR3,11.445,DR3,9.563,UCAC4,2794018514021041664
J00210+557,G 217-043,00:21:04.30,+55:43:59.3,DR3,378.320833830394,-231.361604544794,DR3,22.7052159321305,DR3,-17.442,DR3,12.3408,DR3,10.4022,UCAC4,421421130234828032
J00218+382,G 171-051,00:21:53.95,+38:16:29.4,DR3,620.64514301991,-324.278018365703,DR3,40.3402247753567,DR3,-29.498,DR3,13.1339,DR3,10.5429,UCAC4,378851098016946816
J00219+492,LP  149-56 A,00:21:57.86,+49:12:37.8,DR3,208.753498577412,-35.0799333049415,DR3,33.8712007528668,DR3,-12.136,DR3,13.1761,DR3,10.712,UCAC4,394177942214683520
J00234+243,GJ 1011,00:23:27.99,+24:18:24.6,DR3,-225.259142945291,117.710154579277,DR3,60.1978403244251,DR3,-8.228,DR3,14.5077,DR3,11.5543,PS1,2801216123294143360
J00234+771,G 242-51,00:23:28.83,+77:11:21.5,DR3,-837.427539266595,45.155369079996,DR3,52.2692008038586,DR3,-64.255,DR3,11.5519,DR3,9.372,UCAC4,540136568911394944
J00235+771,G 242-52,00:23:31.80,+77:11:26.6,DR3,-836.894603617721,55.8752784780971,DR3,52.2896665601881,DR3,-62.481,DR3,14.4288,DR3,11.61,PS1,540136568911394432
J00240+264,LSPM J0024+2626,00:24:03.79,+26:26:29.7,DR3,141.784071042516,-54.4860017504109,DR3,26.0375568027454,DR3,14.78,DR3,14.9817,DR3,12.0312,UCAC4,2855743172658367360
J00244+360,G 130-067,00:24:25.91,+36:03:53.7,DR3,291.668500995165,21.535002955267,DR3,27.7394358407224,DR3,10.118,DR3,12.1961,DR3,10.1727,UCAC4,366327454417902208
J00245+300,G 130-068,00:24:34.88,+30:02:29.5,DR3,585.890754458637,9.95985329753262,DR3,51.3160759497786,DR3,10.285,DR3,14.7923,DR3,11.672,UCAC4,2859027409595355776
J00253+228,LP 349-018,00:25:20.60,+22:53:11.1,DR3,-234.411714736849,-463.946326946323,DR3,61.9013733270665,DR3,-30.89,DR3,14.4877,DR3,11.5133,UCAC4,2800823799506215168
